"player","year","draft_era","team","overall_pick","pick_range","nationality","position","player_type","games_played","points","point_shares","career_tier"
"Owen Power",2021,"2020s","Buffalo Sabres",1,"Top 10","CA","D","Skater",8,3,0.90,"Brief NHL Career"
"Barry Dean",1975,"Pre-1980","Kansas City Scouts",2,"Top 10","CA","LW","Skater",165,81,3.70,"Brief NHL Career"
"Quinton Byfield",2020,"2020s","Los Angeles Kings",2,"Top 10","CA","C","Skater",46,11,0.50,"Brief NHL Career"
"Dave Chyzowski",1989,"1980s","New York Islanders",2,"Top 10","CA","LW","Skater",126,31,-0.40,"Brief NHL Career"
"Matthew Beniers",2021,"2020s","Seattle Kraken",2,"Top 10","United States","C","Skater",10,9,0.90,"Brief NHL Career"
"Nolan Patrick",2017,"2010s","Philadelphia Flyers",2,"Top 10","CA","C","Skater",222,77,4.10,"Brief NHL Career"
"Kaapo Kakko",2019,"2010s","New York Rangers",2,"Top 10","FI","RW","Skater",157,58,3.80,"Brief NHL Career"
"Don Tannahill",1969,"Pre-1980","Boston Bruins",3,"Top 10","CA","LW","Skater",111,63,4.00,"Brief NHL Career"
"Terry Caffery",1966,"Pre-1980","Chicago Blackhawks",3,"Top 10","CA","C","Skater",14,0,-0.40,"Brief NHL Career"
"Ralph Klassen",1975,"Pre-1980","California Golden Seals",3,"Top 10","CA","C","Skater",497,145,-0.80,"Brief NHL Career"
"Kirby Dach",2019,"2010s","Chicago Blackhawks",3,"Top 10","CA","C","Skater",152,59,3.00,"Brief NHL Career"
"Alexander Svitov",2001,"2000s","Tampa Bay Lightning",3,"Top 10","RU","C","Skater",179,37,1.10,"Brief NHL Career"
"Mason Mctavish",2021,"2020s","Anaheim Ducks",3,"Top 10","CH","C","Skater",9,3,0.40,"Brief NHL Career"
"Neil Brady",1986,"1980s","New Jersey Devils",3,"Top 10","CA","C","Skater",89,31,0.30,"Brief NHL Career"
"Alexandre Volchkov",1996,"1990s","Washington Capitals",4,"Top 10","RU","C","Skater",3,0,-0.10,"Brief NHL Career"
"Frank Spring",1969,"Pre-1980","Boston Bruins",4,"Top 10","CA","RW","Skater",61,34,2.20,"Brief NHL Career"
"John Wright",1966,"Pre-1980","Toronto Maple Leafs",4,"Top 10","CA","C","Skater",127,52,1.70,"Brief NHL Career"
"Garry Swain",1968,"Pre-1980","Pittsburgh Penguins",4,"Top 10","CA","C","Skater",9,2,0.00,"Brief NHL Career"
"Lucas Raymond",2020,"2020s","Detroit Red Wings",4,"Top 10","SE","LW","Skater",82,57,4.20,"Brief NHL Career"
