"overall_pick","players_drafted","avg_games_played","avg_points","avg_point_shares","successful_players"
1,60,808.6,637.7,74.80,46
2,60,789.4,566.7,63.30,47
3,60,708.5,406.1,44.69,39
4,60,632.3,399.1,45.62,33
5,60,621.0,307.3,45.59,39
6,60,549.6,339.2,38.34,30
7,60,597.5,328.1,35.62,35
8,60,484.9,250.2,29.64,26
9,60,528.3,274.4,30.93,27
10,60,449.6,200.6,22.59,19
11,59,563.0,275.4,34.84,29
12,59,428.1,208.9,24.34,16
13,59,486.3,228.7,27.02,21
14,59,528.2,236.3,32.57,28
15,59,396.7,259.5,28.87,17
16,59,393.7,177.1,20.85,19
17,59,470.8,234.7,24.54,19
18,59,375.2,149.2,17.14,15
19,58,362.3,165.8,21.29,15
20,58,393.1,177.1,24.65,15
21,58,385.3,170.4,20.22,17
22,57,393.3,209.8,24.16,16
23,57,377.2,150.9,20.99,17
24,57,357.5,161.5,20.39,14
25,54,336.0,133.9,19.84,15
26,54,337.8,165.4,21.51,20
27,54,374.9,146.3,21.11,19
28,54,312.0,136.2,16.23,9
29,54,267.6,114.4,13.87,9
30,54,295.3,122.0,14.83,10
31,54,159.8,42.6,8.93,7
32,54,273.3,109.2,11.50,9
33,54,388.7,174.9,19.60,13
34,54,205.6,68.1,10.78,4
35,54,276.8,115.3,14.08,7
36,54,323.7,133.1,16.16,9
37,54,233.5,76.1,12.25,6
38,54,311.4,102.6,17.07,10
39,54,269.9,105.5,14.36,9
40,54,340.8,159.8,21.99,13
41,54,209.5,82.2,10.32,5
42,54,244.7,93.5,10.32,7
43,54,297.3,128.3,15.21,9
44,54,369.3,140.0,23.99,12
45,54,283.9,138.7,17.85,8
46,54,240.2,82.6,10.03,7
47,54,308.8,124.0,13.61,10
48,54,207.8,92.0,13.68,8
49,53,260.6,106.4,13.39,7
50,54,213.4,72.1,7.37,3
51,54,310.9,152.9,21.78,8
52,54,262.1,75.4,13.42,4
53,54,257.7,108.6,16.94,5
54,54,285.8,88.2,15.73,6
55,54,321.8,123.4,13.88,12
56,54,306.8,99.4,18.02,6
57,54,304.4,117.3,11.72,7
58,54,182.8,77.2,10.99,5
59,54,357.8,131.6,21.69,8
60,54,280.9,129.7,14.34,9
