"player","year","draft_era","team","overall_pick","pick_range","nationality","position","player_type","games_played","points","point_shares","career_tier"
"Henrik Lundqvist",2000,"2000s","New York Rangers",205,"Round 5+","SE","G","Goalie",887,27,173.30,"Elite"
"Dominik Hasek",1983,"1980s","Chicago Blackhawks",199,"Round 5+","CZ","G","Goalie",735,19,156.80,"Elite"
"Brett Hull",1984,"1980s","Calgary Flames",117,"Round 4","CA","RW","Skater",1269,1391,154.60,"Elite"
"Ryan Miller",1999,"1990s","Buffalo Sabres",138,"Round 5+","United States","G","Goalie",796,12,151.70,"Elite"
"Tomas Vokoun",1994,"1990s","Montreal Canadiens",226,"Round 5+","CZ","G","Goalie",700,23,142.30,"Elite"
"Luc Robitaille",1984,"1980s","Los Angeles Kings",171,"Round 5+","CA","LW","Skater",1431,1394,138.60,"Elite"
"Daniel Alfredsson",1994,"1990s","Ottawa Senators",133,"Round 5+","SE","RW","Skater",1246,1157,133.60,"Elite"
"Nikolai Khabibulin",1992,"1990s","Winnipeg Jets",204,"Round 5+","RU","G","Goalie",799,18,132.40,"Elite"
"Pekka Rinne",2004,"2000s","Nashville Predators",258,"Round 5+","FI","G","Goalie",683,15,123.80,"Elite"
"Gary Suter",1984,"1980s","Calgary Flames",180,"Round 5+","United States","D","Skater",1145,844,121.60,"Elite"
"Doug Gilmour",1982,"1980s","St. Louis Blues",134,"Round 5+","CA","C","Skater",1474,1414,118.60,"Elite"
"Evgeni Nabokov",1994,"1990s","San Jose Sharks",219,"Round 5+","KZ","G","Goalie",697,16,117.50,"Elite"
"Mike Smith",2001,"2000s","Dallas Stars",161,"Round 5+","CA","G","Goalie",670,21,116.90,"Elite"
"Joe Pavelski",2003,"2000s","San Jose Sharks",205,"Round 5+","United States","C","Skater",1168,924,113.70,"Elite"
"Andy Moog",1980,"1980s","Edmonton Oilers",132,"Round 5+","CA","G","Goalie",713,24,111.70,"Elite"
"Pavel Datsyuk",1998,"1990s","Detroit Red Wings",171,"Round 5+","RU","C","Skater",953,918,111.20,"Elite"
"Theoren Fleury",1987,"1980s","Calgary Flames",166,"Round 5+","CA","RW","Skater",1084,1088,110.30,"Elite"
"Miikka Kiprusoff",1995,"1990s","San Jose Sharks",116,"Round 4","FI","G","Goalie",623,10,109.90,"Elite"
"Henrik Zetterberg",1999,"1990s","Detroit Red Wings",210,"Round 5+","SE","LW","Skater",1082,960,109.30,"Elite"
"Peter Bondra",1990,"1990s","Washington Capitals",156,"Round 5+","UA","RW","Skater",1081,892,104.30,"Elite"
"Andrei Markov",1998,"1990s","Montreal Canadiens",162,"Round 5+","RU","D","Skater",990,572,104.00,"Elite"
"Kimmo Timonen",1993,"1990s","Los Angeles Kings",250,"Round 5+","FI","D","Skater",1108,571,101.40,"Elite"
"Jaroslav Halak",2003,"2000s","Montreal Canadiens",271,"Round 5+","SK","G","Goalie",556,12,99.50,"Star"
"Ron Hextall",1982,"1980s","Philadelphia Flyers",119,"Round 4","CA","G","Goalie",608,33,95.00,"Star"
"Pavel Bure",1989,"1980s","Vancouver Canucks",113,"Round 4","RU","RW","Skater",702,779,93.10,"Star"
"Tim Thomas",1994,"1990s","Quebec Nordiques",217,"Round 5+","United States","G","Goalie",426,7,92.80,"Star"
"Guy Hebert",1987,"1980s","St. Louis Blues",159,"Round 5+","United States","G","Goalie",491,6,92.30,"Star"
"Jamie Benn",2007,"2000s","Dallas Stars",129,"Round 5+","CA","LW","Skater",948,769,91.80,"Star"
"Keith Yandle",2005,"2000s","Phoenix Coyotes",105,"Round 4","United States","D","Skater",1109,619,90.30,"Star"
"Pavol Demitra",1993,"1990s","Ottawa Senators",227,"Round 5+","SK","LW","Skater",847,768,90.00,"Star"
"Brian Campbell",1997,"1990s","Buffalo Sabres",156,"Round 5+","CA","D","Skater",1082,504,89.70,"Star"
"Steve Larmer",1980,"1980s","Chicago Blackhawks",120,"Round 4","CA","RW","Skater",1006,1012,88.00,"Star"
"Lubomir Visnovsky",2000,"2000s","Los Angeles Kings",118,"Round 4","SK","D","Skater",883,495,87.00,"Star"
"Tomas Kaberle",1996,"1990s","Toronto Maple Leafs",204,"Round 5+","CZ","D","Skater",984,563,87.00,"Star"
"Rick Tocchet",1983,"1980s","Philadelphia Flyers",121,"Round 4","CA","RW","Skater",1144,952,85.80,"Star"
"Dustin Byfuglien",2003,"2000s","Chicago Blackhawks",245,"Round 5+","United States","D","Skater",869,525,85.60,"Star"
"Pete Peeters",1977,"Pre-1980","Philadelphia Flyers",135,"Round 5+","CA","G","Goalie",489,14,85.60,"Star"
"Greg Millen",1977,"Pre-1980","Pittsburgh Penguins",102,"Round 4","CA","G","Goalie",604,18,84.60,"Star"
"Dave Taylor",1975,"Pre-1980","Los Angeles Kings",210,"Round 5+","CA","RW","Skater",1111,1069,84.50,"Star"
"Kirk McLean",1984,"1980s","New Jersey Devils",107,"Round 4","CA","G","Goalie",612,23,84.00,"Star"
"Marty Turco",1994,"1990s","Dallas Stars",124,"Round 4","CA","G","Goalie",543,22,83.90,"Star"
"Arturs Irbe",1989,"1980s","Minnesota North Stars",196,"Round 5+","LV","G","Goalie",568,9,83.60,"Star"
"Frederik Andersen",2010,"2010s","Carolina Hurricanes",187,"Round 5+","DK","G","Goalie",445,13,82.30,"Star"
"Miroslav Satan",1993,"1990s","Edmonton Oilers",111,"Round 4","SK","LW","Skater",1050,735,82.30,"Star"
"Steve Sullivan",1994,"1990s","New Jersey Devils",233,"Round 5+","CA","RW","Skater",1011,747,81.20,"Star"
"Adrian Aucoin",1992,"1990s","Vancouver Canucks",117,"Round 4","CA","D","Skater",1108,399,80.90,"Star"
"Tommy Salo",1993,"1990s","New York Islanders",118,"Round 4","SE","G","Goalie",526,7,78.60,"Star"
"Reggie Lemelin",1974,"Pre-1980","Philadelphia Flyers",125,"Round 4","CA","G","Goalie",506,17,78.40,"Star"
"Cliff Ronning",1984,"1980s","St. Louis Blues",134,"Round 5+","CA","C","Skater",1137,869,78.10,"Star"
"Brian Elliott",2003,"2000s","Ottawa Senators",291,"Round 5+","CA","G","Goalie",521,10,77.70,"Star"
"Andrew Brunette",1993,"1990s","Washington Capitals",174,"Round 5+","CA","LW","Skater",1110,733,73.40,"Star"
"Sami Salo",1996,"1990s","Ottawa Senators",239,"Round 5+","FI","D","Skater",878,339,72.90,"Star"
"Connor Hellebuyck",2012,"2010s","Winnipeg Jets",130,"Round 5+","United States","G","Goalie",381,9,72.60,"Star"
"Bruce Driver",1981,"1980s","Colorado Rockies",108,"Round 4","CA","D","Skater",922,486,72.40,"Star"
"Marek Zidlicky",2001,"2000s","New York Rangers",176,"Round 5+","CZ","D","Skater",836,417,70.70,"Star"
"Robert Lang",1990,"1990s","Los Angeles Kings",133,"Round 5+","CZ","C","Skater",989,703,70.30,"Star"
"Jared Spurgeon",2008,"2000s","New York Islanders",156,"Round 5+","CA","D","Skater",772,345,69.80,"Star"
"Jaroslav Spacek",1998,"1990s","Florida Panthers",117,"Round 4","CZ","D","Skater",880,355,69.30,"Star"
"Radim Vrbata",1999,"1990s","Colorado Avalanche",212,"Round 5+","CZ","RW","Skater",1057,623,69.10,"Star"
"John Gaudreau",2011,"2010s","Calgary Flames",104,"Round 4","United States","LW","Skater",602,609,68.30,"Star"
"Michal Rozsival",1996,"1990s","Pittsburgh Penguins",105,"Round 4","CZ","D","Skater",963,309,68.20,"Star"
"Don Sweeney",1984,"1980s","Boston Bruins",166,"Round 5+","CA","D","Skater",1115,273,68.20,"Star"
"Christian Ehrhoff",2001,"2000s","San Jose Sharks",106,"Round 4","DE","D","Skater",789,339,67.70,"Star"
"Doug Crossman",1979,"Pre-1980","Chicago Blackhawks",112,"Round 4","CA","D","Skater",914,464,67.40,"Star"
"Mark Streit",2004,"2000s","Montreal Canadiens",262,"Round 5+","CH","D","Skater",786,434,67.30,"Star"
"Dennis Wideman",2002,"2000s","Buffalo Sabres",241,"Round 5+","CA","D","Skater",815,387,66.30,"Star"
"Patrick Lalime",1993,"1990s","Pittsburgh Penguins",156,"Round 5+","CA","G","Goalie",444,6,65.50,"Star"
"Patric Hornqvist",2005,"2000s","Nashville Predators",230,"Round 5+","SE","RW","Skater",879,540,65.10,"Star"
"Pavel Kubina",1996,"1990s","Tampa Bay Lightning",179,"Round 5+","CZ","D","Skater",970,386,64.10,"Star"
"Filip Kuba",1995,"1990s","Florida Panthers",192,"Round 5+","CZ","D","Skater",836,333,63.50,"Star"
"Steve Smith",1981,"1980s","Edmonton Oilers",111,"Round 4","GB","D","Skater",804,375,62.80,"Star"
"John-Michael Liles",2000,"2000s","Colorado Avalanche",159,"Round 5+","United States","D","Skater",836,370,61.10,"Star"
"Kevin Stevens",1983,"1980s","Los Angeles Kings",108,"Round 4","United States","LW","Skater",874,726,60.50,"Star"
"Lyle Odelein",1986,"1980s","Montreal Canadiens",141,"Round 5+","CA","D","Skater",1056,252,60.40,"Star"
"Dmitri Khristich",1988,"1980s","Washington Capitals",120,"Round 4","UA","LW/C","Skater",811,596,60.30,"Star"
"Manny Legace",1993,"1990s","Hartford Whalers",188,"Round 5+","CA","G","Goalie",365,9,60.20,"Star"
"Vladimir Malakhov",1989,"1980s","New York Islanders",191,"Round 5+","RU","D","Skater",712,346,59.20,"Star"
"John Klingberg",2010,"2010s","Dallas Stars",131,"Round 5+","SE","D","Skater",552,374,59.10,"Star"
"Kim Johnsson",1994,"1990s","New York Rangers",286,"Round 5+","SE","D","Skater",739,284,58.80,"Star"
"Sean O'Donnell",1991,"1990s","Buffalo Sabres",123,"Round 4","CA","D","Skater",1224,229,58.80,"Star"
"Willie Mitchell",1996,"1990s","New Jersey Devils",199,"Round 5+","CA","D","Skater",907,180,58.00,"Star"
"Jake Muzzin",2007,"2000s","Pittsburgh Penguins",141,"Round 5+","CA","D","Skater",679,293,57.90,"Star"
"Stefan Persson",1974,"Pre-1980","New York Islanders",214,"Round 5+","SE","D","Skater",622,369,57.20,"Star"
"Jussi Jokinen",2001,"2000s","Dallas Stars",192,"Round 5+","FI","C","Skater",951,563,57.20,"Star"
"Michael Ryder",1998,"1990s","Montreal Canadiens",216,"Round 5+","CA","RW","Skater",806,484,57.20,"Star"
"Sean Hill",1988,"1980s","Montreal Canadiens",167,"Round 5+","United States","D","Skater",876,298,57.20,"Star"
"T.J. Brodie",2008,"2000s","Calgary Flames",114,"Round 4","CA","D","Skater",772,308,57.10,"Star"
"Tomas Holmstrom",1994,"1990s","Detroit Red Wings",257,"Round 5+","SE","LW","Skater",1026,530,57.00,"Star"
"Anton Stralman",2005,"2000s","Toronto Maple Leafs",216,"Round 5+","SE","D","Skater",930,293,56.60,"Star"
"Mark Stone",2010,"2010s","Ottawa Senators",178,"Round 5+","CA","RW","Skater",541,476,56.20,"Star"
"Bret Hedican",1988,"1980s","St. Louis Blues",198,"Round 5+","United States","D","Skater",1039,294,55.90,"Star"
"Shawn McEachern",1987,"1980s","Pittsburgh Penguins",110,"Round 4","United States","RW","Skater",911,579,55.80,"Star"
"Gord Murphy",1985,"1980s","Philadelphia Flyers",189,"Round 5+","CA","D","Skater",862,323,55.70,"Star"
"Doug Lidster",1980,"1980s","Vancouver Canucks",133,"Round 5+","CA","D","Skater",897,343,55.50,"Star"
"Kevin Bieksa",2001,"2000s","Vancouver Canucks",151,"Round 5+","CA","D","Skater",808,278,55.30,"Star"
"Tommy Albelin",1983,"1980s","Quebec Nordiques",152,"Round 5+","CA","D","Skater",952,255,55.00,"Star"
"Stephane Robidas",1995,"1990s","Montreal Canadiens",164,"Round 5+","CA","D","Skater",937,258,55.00,"Star"
"Igor Larionov",1985,"1980s","Vancouver Canucks",214,"Round 5+","RU","C","Skater",921,644,54.90,"Star"
"Uwe Krupp",1983,"1980s","Buffalo Sabres",214,"Round 5+","CA","D","Skater",729,281,54.70,"Star"
"Darcy Kuemper",2009,"2000s","Minnesota Wild",161,"Round 5+","CA","G","Goalie",299,4,54.60,"Star"
"Tom Kurvers",1981,"1980s","Montreal Canadiens",145,"Round 5+","United States","D","Skater",659,421,54.30,"Star"
"Joe Reekie",1983,"1980s","Hartford Whalers",124,"Round 4","CA","D","Skater",902,164,53.90,"Star"
