"nationality","players_drafted","avg_games_played","avg_points","avg_point_shares","elite_players","successful_players","success_rate"
"UA",33,412.4,219.5,28.74,1,7,0.212
"KZ",24,244.1,69.1,27.15,1,3,0.125
"DK",27,335.4,133.9,23.26,0,8,0.296
"GB",22,295.9,148.0,21.69,0,3,0.136
"DE",81,319.0,142.3,20.43,0,10,0.123
"SK",166,288.6,146.6,20.20,3,19,0.114
"CZ",479,313.7,149.8,20.06,5,67,0.140
"SE",800,311.9,146.8,19.39,10,92,0.115
"RU",724,265.7,139.4,18.69,12,68,0.094
"CA",6498,318.6,141.4,17.17,85,804,0.124
"United States",2639,289.9,120.0,16.11,22,237,0.090
"FI",497,232.7,103.3,15.79,8,50,0.101
"CH",73,202.8,90.4,14.56,0,8,0.110
"LV",39,214.3,66.8,13.98,0,5,0.128
"BY",32,223.3,80.9,11.10,0,2,0.063
"NO",23,88.6,26.8,2.54,0,0,0.000
