"team","players_drafted","avg_draft_position","avg_games_played","avg_points","avg_point_shares","elite_players","successful_players","success_rate"
"Quebec Nordiques",182,121.9,362.1,171.1,23.66,3,35,0.192
"Atlanta Flames",78,89.3,331.5,172.4,16.27,0,14,0.179
"Buffalo Sabres",496,111.0,358.8,150.3,20.38,7,77,0.155
"New York Islanders",496,118.6,346.8,152.2,20.72,7,69,0.139
"Ottawa Senators",250,120.0,312.7,141.7,18.65,4,33,0.132
"San Jose Sharks",259,127.5,333.7,134.3,19.09,5,34,0.131
"Boston Bruins",474,111.2,315.5,150.1,18.55,8,61,0.129
"Anaheim Ducks",224,109.1,289.5,116.1,17.25,3,29,0.129
"Vancouver Canucks",452,117.3,307.5,143.1,15.80,2,57,0.126
"Montreal Canadiens",627,109.5,360.4,159.7,21.62,10,79,0.126
"Winnipeg Jets",274,118.7,306.2,149.6,18.78,5,34,0.124
"New York Rangers",551,115.6,334.1,152.1,18.43,8,67,0.122
"Toronto Maple Leafs",509,114.6,310.3,135.0,16.25,3,61,0.120
"Detroit Red Wings",534,116.4,358.0,172.6,19.79,7,63,0.118
"New Jersey Devils",386,118.5,306.2,121.9,18.39,6,45,0.117
"Philadelphia Flyers",509,117.8,282.8,136.1,15.98,1,59,0.116
"Columbus Blue Jackets",183,116.6,238.4,89.0,12.67,1,21,0.115
"Kansas City Scouts",26,90.9,285.3,165.5,12.42,0,3,0.115
"Washington Capitals",459,123.0,288.9,131.0,17.50,9,53,0.115
"Nashville Predators",205,120.3,307.6,122.9,18.79,3,23,0.112
"Hartford Whalers",178,126.7,400.3,174.7,19.97,3,20,0.112
"Colorado Rockies",45,94.9,218.2,110.2,11.22,0,5,0.111
"Colorado Avalanche",221,119.2,254.5,110.2,15.15,0,24,0.109
"Pittsburgh Penguins",463,117.9,285.3,136.8,16.86,7,50,0.108
"St. Louis Blues",498,122.0,298.9,125.7,15.31,3,53,0.106
"Los Angeles Kings",475,117.1,280.0,127.8,16.89,8,50,0.105
"Florida Panthers",252,114.6,280.9,103.6,13.70,0,26,0.103
"Minnesota Wild",165,117.7,269.9,106.5,15.55,2,17,0.103
"Chicago Blackhawks",545,113.0,301.1,137.3,16.87,9,55,0.101
"Carolina Hurricanes",202,116.3,233.8,91.9,13.99,2,19,0.094
"Edmonton Oilers",405,120.4,307.2,148.7,16.96,6,38,0.094
"Atlanta Thrashers",107,134.5,275.9,106.0,17.19,2,10,0.093
"Minnesota North Stars",261,104.4,271.4,114.4,15.57,2,24,0.092
"Calgary Flames",397,121.8,299.5,137.2,16.85,7,35,0.088
"Phoenix Coyotes",140,118.6,246.6,99.2,12.09,0,12,0.086
"Dallas Stars",234,120.0,289.9,114.4,16.31,2,19,0.081
"California Golden Seals",51,71.2,217.4,123.4,9.45,0,4,0.078
"Tampa Bay Lightning",269,134.6,236.0,106.6,13.78,4,20,0.074
"Oakland Seals",20,39.4,261.0,111.0,11.81,0,1,0.050
"Arizona Coyotes",74,102.9,119.8,52.8,5.92,0,2,0.027
"Vegas Golden Knights",46,112.2,62.3,25.1,2.40,0,0,0.000
